26.49,952.07,571.50,42.410842,1.129562,17.4,230.8,9:45:34,.413590,
26.43,952.18,570.50,42.410786,1.129474,18.7,229.5,9:45:35,.412904,
26.37,952.20,570.34,42.409951,1.128074,25.7,231.2,9:45:48,.412374,
26.29,952.08,571.42,42.409421,1.127315,29.2,213.7,9:45:54,.412009,
26.26,951.82,573.68,42.408484,1.127325,32.5,150.7,9:46:1,2.411720,
26.27,951.52,576.26,42.407573,1.128124,34.4,157.2,9:46:8,2.411485,
26.30,951.23,578.80,42.406561,1.128409,35.4,164.3,9:46:14,.411172,
26.45,951.03,580.57,42.405321,1.128926,40.9,160.7,9:46:21,.410842,
26.63,950.92,581.51,42.404047,1.129606,43.2,153.2,9:46:28,.410786,
26.88,950.83,582.35,42.402822,1.130493,42.9,156.1,9:46:35,.409951,
27.10,950.72,583.26,42.402638,1.130593,43.0,158.4,9:46:36,.409421,
27.24,950.64,583.99,42.400559,1.130483,37.8,216.2,9:46:48,.408484,
27.37,950.59,584.44,42.399785,1.129195,39.6,239.0,9:46:55,.407573,
27.49,950.63,584.12,42.398897,1.127862,41.9,217.3,9:47:2,2.406561,
27.58,950.76,582.95,42.398741,1.127707,42.2,215.6,9:47:3,2.405321,
27.64,950.93,581.44,42.396309,1.126407,44.9,198.7,9:47:16,.404047,
27.69,951.11,579.92,42.395101,1.125849,46.7,199.0,9:47:22,.402822,
27.77,951.41,577.23,42.393608,1.125562,47.0,172.6,9:47:29,.402638,
27.84,951.80,573.80,42.392133,1.125496,46.8,199.3,9:47:36,.400559,
27.88,952.23,570.06,42.391936,1.125379,46.2,205.9,9:47:37,.399785,
27.95,952.66,566.31,42.389885,1.123113,48.0,207.6,9:47:49,.398897,
27.97,953.05,562.93,42.388602,1.122081,45.7,225.0,9:47:56,.398741,
27.97,953.35,560.32,42.388031,1.120282,45.8,259.8,9:48:3,2.396309,
28.03,953.54,558.64,42.387490,1.118411,46.5,240.7,9:48:10,.395101,
28.08,953.59,558.17,42.387380,1.118165,46.0,238.3,9:48:11,.393608,
28.07,953.50,558.98,42.385486,1.116667,37.2,187.1,9:48:23,.392133,
28.04,953.25,561.18,42.384294,1.116430,36.6,196.0,9:48:30,.391936,
27.98,953.03,563.07,42.383328,1.115702,32.7,217.0,9:48:37,.389885,
27.93,953.04,563.01,42.383209,1.115581,31.9,217.2,9:48:38,.388602,
27.91,953.15,562.00,42.381880,1.113999,34.7,225.2,9:48:50,.388031,
27.92,953.23,561.37,42.381117,1.112893,33.5,228.6,9:48:57,.387490,
27.95,953.20,561.61,42.380293,1.111896,35.1,210.2,9:49:4,2.387380,
28.00,953.08,562.65,42.379204,1.111532,34.1,179.9,9:49:11,.385486,
28.12,952.83,564.80,42.378128,1.111832,33.9,162.8,9:49:18,.384294,
28.28,952.53,567.48,42.377199,1.112100,34.6,176.4,9:49:24,.383328,
28.41,952.02,571.93,42.376110,1.111738,35.4,209.5,9:49:31,.383209,
28.55,951.54,576.15,42.375203,1.110681,40.2,221.9,9:49:38,.381880,
28.70,951.26,578.57,42.374072,1.109669,42.6,211.3,9:49:45,.381117,
28.86,951.39,577.39,42.373903,1.109539,42.0,208.9,9:49:46,.380293,
29.01,951.83,573.61,42.371746,1.108225,42.0,208.9,9:49:58,.379204,
29.15,952.48,567.92,42.370616,1.106865,46.7,224.4,9:50:5,2.378128,
29.26,953.22,561.41,42.369516,1.105500,45.8,215.7,9:50:12,.377199,
29.35,953.98,554.82,42.368235,1.104541,44.6,218.7,9:50:19,.376110,
29.39,954.65,548.94,42.367572,1.103143,44.6,223.9,9:50:25,.375203,
29.41,955.04,545.53,42.366852,1.101450,43.6,233.3,9:50:32,.374072,
29.40,955.23,543.85,42.366374,1.099660,44.8,263.2,9:50:39,.373903,
29.40,955.38,542.56,42.365831,1.097854,45.8,234.1,9:50:46,.371746,
29.37,955.50,541.53,42.365697,1.097628,46.3,230.7,9:50:47,.370616,
29.32,955.58,540.82,42.363885,1.095037,48.6,229.7,9:50:59,.369516,
29.23,955.70,539.78,42.362928,1.093349,48.5,235.5,9:51:6,2.368235,
29.12,955.88,538.22,42.362031,1.091587,48.6,235.3,9:51:13,.367572,
29.03,956.05,536.69,42.361305,1.089767,47.6,253.2,9:51:20,.366852,
28.93,956.26,534.92,42.360963,1.087795,47.6,258.1,9:51:27,.366374,
28.83,956.64,531.60,42.360577,1.086347,36.5,255.9,9:51:33,.365831,
28.73,957.14,527.24,42.360376,1.084967,29.1,252.1,9:51:40,.365697,
28.61,957.43,524.69,42.359931,1.083834,30.3,234.3,9:51:47,.363885,
28.47,957.61,523.12,42.359848,1.083681,30.5,233.7,9:51:48,.362928,
28.31,957.72,522.21,42.359445,1.081444,30.4,280.8,9:52:1,2.362031,
28.17,957.68,522.53,42.359592,1.080330,30.5,277.8,9:52:7,2.361305,
28.08,957.54,523.78,42.359502,1.078915,34.0,255.0,9:52:14,.360963,
27.97,957.37,525.22,42.359058,1.077468,38.9,244.2,9:52:21,.       
27.85,957.46,524.49,42.358977,1.077247,39.7,243.7,9:52:22,        
27.73,957.81,521.37,42.357436,1.075338,36.0,200.4,9:52:34,        
27.65,958.25,517.59,42.356257,1.074802,41.1,198.1,9:52:41,        
